ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	short3_cov	short3_Ocov	short4_cov	short4_Ocov	long_nb	short1_nb	short2_nb	short3_nb	short4_nb
114	406	0	1	0.000000	1.950739	1.950739	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
115	120	0	0	0.000000	1.708333	1.708333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
116	80	0	0	0.000000	2.300000	2.300000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
117	75	0	0	0.000000	1.920000	1.920000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
118	252	0	0	0.000000	1.619048	1.619048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
119	132	0	0	0.000000	3.272727	3.272727	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
120	123	0	0	0.000000	3.048780	3.048780	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
121	80	0	0	0.000000	2.512500	2.512500	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
122	63	0	0	0.000000	2.619048	2.619048	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
123	321	0	0	0.000000	2.947040	2.947040	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
124	154	0	0	0.000000	1.980519	1.980519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
125	93	0	0	0.000000	3.139785	3.139785	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
126	51	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
127	59	0	0	0.000000	1.762712	1.762712	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
128	80	0	0	0.000000	2.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0	N/A	N/A	N/A	N/A
