FBtr0113685	1000	0	0	0	0
FBtr0304153	1000	0	0	0	0
FBtr0113686	1000	0	0	0	0
FBtr0112921	1000	350	3798.73	3.79873	10.8535
FBtr0070088	1000	350	-1029.3	-1.0293	-2.94087
FBtr0307173	1000	350	-4503.31	-4.50331	-12.8666
FBtr0344738	1000	350	-2279.33	-2.27933	-6.51238
FBtr0344739	1000	350	-2279.33	-2.27933	-6.51238
FBtr0290017	1000	350	-2279.33	-2.27933	-6.51238
FBtr0344737	1000	350	-2279.33	-2.27933	-6.51238
FBtr0070087	1000	350	-2085.11	-2.08511	-5.95745
FBtr0070081	1000	350	-2085.11	-2.08511	-5.95745
FBtr0070086	1000	350	-2085.11	-2.08511	-5.95745
FBtr0343792	1000	350	-1780.56	-1.78056	-5.08732
FBtr0343793	1000	350	56.8584	0.0568584	0.162453
FBtr0290016	1000	350	-2460.5	-2.4605	-7.03
FBtr0070084	1000	350	-2460.5	-2.4605	-7.03
FBtr0340146	1000	350	-2460.5	-2.4605	-7.03
FBtr0070085	1000	350	-2460.5	-2.4605	-7.03
FBtr0070080	1000	350	-1597.13	-1.59713	-4.56322
FBtr0340145	1000	350	-1649.58	-1.64958	-4.71308
FBtr0070092	1000	350	-3122.1	-3.1221	-8.92028
FBtr0070093	1000	350	-1250.88	-1.25088	-3.57395
FBtr0346791	1000	350	-1354.83	-1.35483	-3.87093
FBtr0070079	1000	350	-2140.06	-2.14006	-6.11445
FBtr0070094	1000	350	-2174.24	-2.17424	-6.21213
FBtr0343501	1000	595	208.539	0.208539	0.350486
FBtr0070078	1000	595	208.539	0.208539	0.350486
FBtr0336920	1000	567	309.556	0.309556	0.545954
FBtr0336921	1000	567	309.556	0.309556	0.545954
FBtr0301337	1000	560	309.974	0.309974	0.553525
FBtr0339441	1000	560	309.974	0.309974	0.553525
FBtr0070095	1000	560	309.974	0.309974	0.553525
FBtr0300328	1000	350	135.094	0.135094	0.385982
FBtr0070077	1000	350	135.094	0.135094	0.385982
FBtr0336919	1000	350	7.34823	0.00734823	0.020995
FBtr0070076	1000	350	-1425.63	-1.42563	-4.07324
FBtr0112947	1000	350	-959.104	-0.959104	-2.7403
FBtr0070097	1000	350	105.533	0.105533	0.301522
FBtr0339443	1000	350	345.818	0.345818	0.988052
FBtr0339442	1000	350	345.818	0.345818	0.988052
FBtr0070098	1000	350	345.818	0.345818	0.988052
FBtr0070099	1000	350	-1642.62	-1.64262	-4.69321
FBtr0070075	1000	350	-915.773	-0.915773	-2.61649
FBtr0070100	1000	350	-181.662	-0.181662	-0.519035
FBtr0070074	1000	350	-1500.86	-1.50086	-4.28817
FBtr0070073	1000	350	1372.77	1.37277	3.9222
FBtr0342970	1000	350	-424.564	-0.424564	-1.21304
FBtr0342969	1000	350	-778.648	-0.778648	-2.22471
FBtr0342967	1000	350	118.183	0.118183	0.337665
